file,analog_depth,analog_p50_ber,median_stage_slope,max_stage_slope
out\pathb_ch1_strongsa_w6.json,5,0.0,0.6232533822663506,3.3207978150831785
out\pathb_ch4_strongsa_w6.json,5,0.25,0.6223043295951506,3.4632205745651783
out\pathb_ch6_strongsa_w6.json,5,0.3333333333333333,0.6228616080630693,3.489642557818711
out\pathb_ch6_strongsa_w8.json,5,0.3333333333333333,0.6347989462873931,3.337850266307874
out\pathb_ch8_strongsa_w6.json,5,0.375,0.6228424920075395,3.746369541001033
out\pathb_ch8_strongsa_w8.json,5,0.5,0.6349301537565639,3.605071909523424
out\pathb_ch8_strongsa_w10_tunedcomp.json,5,0.375,0.6554195651097507,3.2389562907800684
out\pathb_ch8_strongsa_w12.json,5,0.3125,0.6798571840400328,2.8675229207294155
out\pathb_ch8_w12_budget.json,5,0.375,0.6797142602072896,2.8675229207294155
out\pathb_ch8_w12_budget_refined.json,5,0.375,0.6798571840400328,2.8675229207294155
out\pathb_ch8_strongsa_w12_s6331.json,5,0.375,0.6800603735027441,2.3841587946060274
out\pathb_ch8_strongsa_w12_s6332.json,5,0.375,0.6800419386119729,2.427942291115319
out\pathb_ch8_w12_budget_s6333.json,5,0.375,0.6800603735027441,2.4561741436647666
out\pathb_ch8_w12_budget_s6334.json,5,0.375,0.6800419386119729,2.427942291115319
