window_ns,ber,energy_pj,window_ns
20.0,0.75,119.89172646625394,20.0
20.0,0.75,113.79700347508285,20.0
20.0,0.625,93.72727147889293,20.0
20.0,0.625,97.24552440147377,20.0
20.0,0.5,79.24209800982469,20.0
20.0,0.9375,143.61964482637998,20.0
20.0,0.5,78.13047523596336,20.0
20.0,0.625,95.04091391487654,20.0
20.0,0.5625,83.45593367686675,20.0
20.0,0.625,92.7464334107453,20.0
20.0,0.75,113.06126449735993,20.0
20.0,0.75,116.71834431226904,20.0
20.0,0.75,120.3068165114455,20.0
20.0,0.625,96.17370861325747,20.0
20.0,0.6875,105.72609231612098,20.0
20.0,0.9375,143.57378508945064,20.0
20.0,0.625,98.40961114002268,20.0
20.0,0.75,111.84043550793562,20.0
20.0,0.6875,103.80433008549191,20.0
20.0,0.625,94.04497090000163,20.0
20.0,0.8125,120.16837130138903,20.0
20.0,0.8125,125.53319201291703,20.0
20.0,0.375,60.528549101508055,20.0
20.0,0.5625,86.38753154536818,20.0
20.0,0.6875,106.42466440807705,20.0
20.0,0.75,113.81882892109316,20.0
20.0,0.75,117.28516569741151,20.0
20.0,0.5,78.69579410819838,20.0
20.0,0.6875,101.94491230748632,20.0
20.0,0.625,96.6899824863498,20.0
20.0,0.75,115.22981176116205,20.0
20.0,0.5,76.48287464602002,20.0
20.0,0.8125,124.10849356095962,20.0
20.0,0.625,99.2701465518627,20.0
20.0,0.6875,110.4388428857762,20.0
20.0,0.5625,85.26948578117805,20.0
20.0,0.5,80.53411633566914,20.0
20.0,0.5625,85.81427168041681,20.0
20.0,0.6875,102.34225964564185,20.0
20.0,0.8125,124.48954078284557,20.0
20.0,0.75,114.62755009471894,20.0
20.0,0.75,112.61611467677383,20.0
20.0,0.5,75.72850941965493,20.0
20.0,0.5625,89.49164268548014,20.0
20.0,0.5,74.48507879812863,20.0
20.0,0.625,97.91094139946335,20.0
20.0,0.75,115.6374033087711,20.0
20.0,0.6875,107.06973544867273,20.0
20.0,0.8125,123.61996788446638,20.0
20.0,0.6875,103.7877553359765,20.0
20.0,0.8125,126.09132140013199,20.0
20.0,0.8125,121.66072173218194,20.0
20.0,0.625,96.52879714400528,20.0
20.0,0.75,116.5330252649873,20.0
20.0,0.6875,106.0760470344144,20.0
20.0,0.75,116.8291596012008,20.0
20.0,0.75,110.31416059390605,20.0
20.0,0.6875,102.98640779563458,20.0
20.0,0.625,98.3398456308144,20.0
20.0,0.5625,89.1405809434288,20.0
20.0,0.6875,104.58028645587812,20.0
20.0,0.6875,101.20574058547538,20.0
20.0,0.5,76.08715475287299,20.0
20.0,0.875,131.55907468047872,20.0
20.0,0.5625,90.08927853530108,20.0
