file,depth,guard_passes,recenter,analog_p50_ber,tdm_symbols_per_s,tdm_micro_passes,recenter_events,recenter_duty,n_bits,n_err
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_k8_w10.json,,,,0.0,10000000.0,10,,,1600,14
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d3_g1_rnone.json,3,1,none,1.0,16666666.666666666,6,,,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d3_g1_r64.json,3,1,64,1.0,16666666.666666666,6,3,0.046875,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d3_g3_rnone.json,3,3,none,1.0,5555555.555555556,18,,,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d3_g3_r64.json,3,3,64,1.0,5555555.555555556,18,3,0.046875,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d3_g5_rnone.json,3,5,none,1.0,3333333.3333333335,30,,,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d3_g5_r64.json,3,5,64,1.0,3333333.3333333335,30,3,0.046875,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d5_g1_rnone.json,5,1,none,1.0,10000000.0,10,,,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d5_g1_r64.json,5,1,64,1.0,10000000.0,10,3,0.046875,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d5_g3_rnone.json,5,3,none,1.0,3333333.3333333335,30,,,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d5_g3_r64.json,5,3,64,1.0,3333333.3333333335,30,3,0.046875,1600,1600
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d5_g5_rnone.json,5,5,none,1.0,2000000.0,50,,,1600,1596
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d5_g5_r64.json,5,5,64,1.0,2000000.0,50,3,0.046875,1600,1596
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d8_g1_rnone.json,8,1,none,1.0,6250000.0,16,,,1600,1563
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d8_g1_r64.json,8,1,64,1.0,6250000.0,16,3,0.046875,1600,1563
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d8_g3_rnone.json,8,3,none,1.0,2083333.3333333333,48,,,1600,1487
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d8_g3_r64.json,8,3,64,1.0,2083333.3333333333,48,3,0.046875,1600,1487
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d8_g5_rnone.json,8,5,none,1.0,1250000.0,80,,,1600,1449
G:\loki\locus\sensus\looking_glass\out\tdm16_strongsa_d8_g5_r64.json,8,5,64,1.0,1250000.0,80,3,0.046875,1600,1449
out/tdm16_strongsa_d5_g3_r64_k8_tuned.json,5,3,64,0.125,3333333.3333333335,30,3,0.046875,1600,161
out\tdm16_strongsa_k8_w10_s7003.json,,,,1.0,10000000.0,10,,,1600,1600
out\tdm16_strongsa_k8_w10_s7004.json,,,,1.0,10000000.0,10,,,1600,1600
out\tdm16_strongsa_d5_g3_r64_k8_tuned_s9042.json,5,3,64,0.125,3333333.3333333335,30,3,0.046875,1600,195
out\tdm16_strongsa_d5_g3_r64_k8_tuned_s9043.json,5,3,64,0.125,3333333.3333333335,30,3,0.046875,1600,172
