file,analog_p50_ber,ber_ci95_lo,ber_ci95_hi,sparse_active_k,tdm_symbols_per_s,tdm_pj_per_symbol_est
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_strong_k4_emitter_tsw0p0.json,0.0,0.0,0.004779050997111869,4,5000000.0,16940.74244980729
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_strong_k4_eo_switch_tsw0p5.json,0.0,0.0,0.004779050997111869,4,4950495.049504951,16940.74244980729
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_strong_k8_emitter_tsw0p0.json,0.0,0.0,0.002395249007133871,8,10000000.0,8470.371224903645
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_strong_k8_eo_switch_tsw0p5.json,0.0,0.0,0.002395249007133871,8,9900990.099009901,8470.371224903645
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_light_k4_emitter_tsw0p0.json,0.0,0.10615426615998484,0.15240612683286348,4,5000000.0,5618.03235611873
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_light_k4_eo_switch_tsw0p5.json,0.0,0.10615426615998484,0.15240612683286348,4,4950495.049504951,5618.03235611873
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_light_k8_emitter_tsw0p0.json,0.125,0.11086567917229184,0.14342476946054067,8,10000000.0,2809.016178059365
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_16ch_light_k8_eo_switch_tsw0p5.json,0.125,0.11086567917229184,0.14342476946054067,8,9900990.099009901,2809.016178059365
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_strong_k4_emitter_tsw0p0.json,0.0,0.0,0.004779050997111869,4,2500000.0,66752.7405768719
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_strong_k4_eo_switch_tsw0p5.json,0.0,0.0,0.004779050997111869,4,2475247.5247524753,66752.7405768719
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_strong_k8_emitter_tsw0p0.json,0.0,0.0,0.002395249007133871,8,5000000.0,33376.37028843595
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_strong_k8_eo_switch_tsw0p5.json,0.0,0.0,0.002395249007133871,8,4950495.049504951,33376.37028843595
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_light_k4_emitter_tsw0p0.json,0.25,0.14322527945107716,0.19495278946200223,4,2500000.0,20540.834614511332
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_light_k4_eo_switch_tsw0p5.json,0.25,0.14322527945107716,0.19495278946200223,4,2475247.5247524753,20540.834614511332
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_light_k8_emitter_tsw0p0.json,0.125,0.14821467952604028,0.18463714324748043,8,5000000.0,10270.417307255666
G:\LOKI\LOCUS\SENSUS\looking_glass\out\tdm_sweep_32ch_light_k8_eo_switch_tsw0p5.json,0.125,0.14821467952604028,0.18463714324748043,8,4950495.049504951,10270.417307255666
